"Table S1A. Information for the 2,466 rice accessions from the International Rice Genebank Collection at the International Rice Research Institute.",,,,,,,,,,,,,,,
Entry_No,Source,DNA_UNIQUE_ID,DNA_Designation,DNA_Accno_source,DNA_VARNAME_source,DNA_Othername_source,ORI_COUNTRY,Genetic_Stock_Accno,Genetic_stock_Designation (varname),total seq count,passed qc seq count,depth,Variety Group (Tree)1,SRA Accession,
1084,IRRI,IRIS 313-11659,TOBOHUN::IRGC 63433-1,IRGC 63433,TOBOHUN,,Sierra Leone,,TOBOHUN::IRGC 63433-1,132928450,124937341,25.9,Tropical japonica,ERS468836,
1085,IRRI,IRIS 313-11660,WULE DASIMA::IRGC 63450-1,IRGC 63450,WULE DASIMA,,Liberia,IRGC 128503,WULE DASIMA::IRGC 63450-1,37651548,37651548,7.8,Temperate japonica,ERS468837,
1086,IRRI,IRIS 313-11661,91-382::IRGC 63464-1,IRGC 63464,91-382,,Bhutan,,91-382::IRGC 63464-1,148095952,142202342,29.5,Aus/boro,ERS468838,
1087,IRRI,IRIS 313-11663,MARHARORA::IRGC 63511-1,IRGC 63511,MARHARORA,,Zimbabwe,IRGC 128383,MARHARORA::IRGC 63511-1,156072040,145682118,30.2,Indica,ERS468839,
1088,IRRI,IRIS 313-11664,CUN GU NUO::IRGC 63576-1,IRGC 63576,CUN GU NUO,,China,IRGC 127288,CUN GU NUO::IRGC 63576-1,182587284,173086600,35.9,Indica,ERS468840,
1089,IRRI,IRIS 313-11611,YAH YAW::IRGC 61359-1,IRGC 61359,YAH YAW,,Thailand,IRGC 127898,YAH YAW::IRGC 61359-1,54570772,54570772,11.3,Indica,ERS468841,
1090,IRRI,IRIS 313-11665,JIN HUA 258::IRGC 63670-1,IRGC 63670,JIN HUA 258,,China,IRGC 127464,JIN HUA 258::IRGC 63670-1,188148860,180482662,37.5,Indica,ERS468842,
1091,IRRI,IRIS 313-11666,LONG GE 33::IRGC 63705-1,IRGC 63705,LONG GE 33,,China,IRGC 127573,LONG GE 33::IRGC 63705-1,79451170,79451170,16.5,Indica,ERS468843,
1092,IRRI,IRIS 313-11667,LUO AI ZAO 3::IRGC 63730-1,IRGC 63730,LUO AI ZAO 3,,China,IRGC 127580,LUO AI ZAO 3::IRGC 63730-1,119904998,114496971,23.8,Indica,ERS468844,
1093,IRRI,IRIS 313-11668,RONG DAO 4::IRGC 63820-1,IRGC 63820,RONG DAO 4,,China,IRGC 127771,RONG DAO 4::IRGC 63820-1,184633868,175287489,36.4,Indica,ERS468845,
1094,IRRI,IRIS 313-11669,F 478::IRGC 63882-1,IRGC 63882,,,China,,F 478::IRGC 63882-1,264662798,249701609,51.8,Indica,ERS468846,
1095,IRRI,IRIS 313-11671,DERAWA::IRGC 64106-1,IRGC 64106,DERAWA,,Nepal,IRGC 127313,DERAWA::IRGC 64106-1,220635968,209978626,43.6,Temperate japonica,ERS468847,
1096,IRRI,IRIS 313-11672,RAI MANULA::IRGC 64138-1,IRGC 64138,RAI MANULA,,Nepal,IRGC 128445,RAI MANULA::IRGC 64138-1,44607674,44607674,9.3,Tropical japonica,ERS468848,
1097,IRRI,IRIS 313-11673,BURI BURING::IRGC 64174-1,IRGC 64174,BURI-BURING,,Philippines,IRGC 128248,BURI BURING::IRGC 64174-1,165847670,158460314,32.9,Indica,ERS468849,
1098,IRRI,IRIS 313-11674,BEUA KAE::IRGC 64221-1,IRGC 64221,BEUA KAE,,Thailand,,BEUA KAE::IRGC 64221-1,139802100,134946905,28.0,Tropical japonica,ERS468850,
1099,IRRI,IRIS 313-11676,E MOOM::IRGC 64291-1,IRGC 64291,E-MOOM,,Thailand,IRGC 127359,E MOOM::IRGC 64291-1,67820592,67820592,14.1,Indica,ERS468851,
1100,IRRI,IRIS 313-11677,E NAWN KHAO::IRGC 64293-1,IRGC 64293,E-NAWN KHAO,,Thailand,IRGC 128286,E NAWN KHAO::IRGC 64293-1,128844598,126346506,26.2,Indica,ERS468852,
1101,IRRI,IRIS 313-11678,E PLUAK::IRGC 64297-1,IRGC 64297,E-PLUAK,,Thailand,IRGC 127360,E PLUAK::IRGC 64297-1,68651924,68651924,14.2,Indica,ERS468853,
1102,IRRI,IRIS 313-11679,GASET BOW::IRGC 64316-1,IRGC 64316,GASET BOW,,Thailand,IRGC 127380,GASET BOW::IRGC 64316-1,72068966,72068966,15.0,Indica,ERS468854,
1103,IRRI,IRIS 313-11680,KHAO BUN MI::IRGC 64366-1,IRGC 64366,KHAO BUN MI,,Thailand,,KHAO BUN MI::IRGC 64366-2,57402048,57402048,11.9,Indica,ERS468855,
1104,IRRI,IRIS 313-11681,KHAO' PAWM::IRGC 64416-1,IRGC 64416,KHAO' PAWM,,Thailand,,KHAO' PAWM::IRGC 64416-2,181465750,178194217,37.0,Indica,ERS468856,
1105,IRRI,IRIS 313-11682,MA EUE::IRGC 64502-1,IRGC 64502,MA EUE,,Thailand,IRGC 127588,MA EUE::IRGC 64502-1,58258526,58258526,12.1,Indica,ERS468857,
1106,IRRI,IRIS 313-11683,NIAW KHIAW NGOO::IRGC 64563-1,IRGC 64563,NIAW KHIAW NGOO,,Thailand,IRGC 127677,NIAW KHIAW NGOO::IRGC 64563-1,172436042,169762535,35.2,Indica,ERS468858,
1107,IRRI,IRIS 313-11684,OB CHUEY::IRGC 64568-1,IRGC 64568,OB CHUEY,,Thailand,,OB CHUEY::IRGC 64568-1,143076920,139535587,29.0,Indica,ERS468859,
1108,IRRI,IRIS 313-11685,PLAWNG SAENG::IRGC 64595-1,IRGC 64595,PLAWNG SAENG,,Thailand,IRGC 127735,PLAWNG SAENG::IRGC 64595-1,158338892,155140508,32.2,Indica,ERS468860,
1109,IRRI,IRIS 313-11686,QUAHNG LUANG::IRGC 64609-1,IRGC 64609,QUAHNG LUANG,,Thailand,,QUAHNG LUANG::IRGC 64609-2,177959220,175210971,36.4,Indica,ERS468861,
1110,IRRI,IRIS 313-11687,SA GAE::IRGC 64613-1,IRGC 64613,SA GAE,,Thailand,,SA GAE::IRGC 64613-1,165604154,161838575,33.6,Indica,ERS468862,
1111,IRRI,IRIS 313-11688,SIA MOO::IRGC 64629-1,IRGC 64629,SIA MOO,,Thailand,,SIA MOO::IRGC 64629-1,60519336,60519336,12.6,Temperate japonica,ERS468863,
1112,IRRI,IRIS 313-11689,DECHANGBYEO::IRGC 64858-1,IRGC 64858,DECHANGBYEO,,South Korea,IRGC 128275,DECHANGBYEO::IRGC 64858-1,156883872,153562152,31.9,Intermediate type,ERS468864,
1113,IRRI,IRIS 313-11690,KOCHUM::IRGC 64906-1,IRGC 64906,KOCHUM,,Bhutan,,KOCHUM::IRGC 64906-1,60710660,60710660,12.6,Tropical japonica,ERS468865,
1114,IRRI,IRIS 313-11691,SHANGYIPA::IRGC 64928-1,IRGC 64928,SHANGYIPA,,Bhutan,IRGC 128467,SHANGYIPA::IRGC 64928-1,160004210,156245801,32.4,Indica,ERS468866,
1115,IRRI,IRIS 313-11692,CHIAYI WU-K'O::IRGC 64974-1,IRGC 64974,CHIAYI-WU-K'O,,Taiwan,IRGC 127273,CHIAYI WU-K'O::IRGC 64974-1,147063490,144151852,29.9,Indica,ERS468867,
1116,IRRI,IRIS 313-11693,CHING CH'UNG::IRGC 65002-1,IRGC 65002,CHING-CH'UNG,,Taiwan,IRGC 127278,CHING CH'UNG::IRGC 65002-1,96185516,83470192,17.3,Indica,ERS468868,
1117,IRRI,IRIS 313-11694,CHING LIU::IRGC 65018-1,IRGC 65018,CHING-LIU,,Taiwan,IRGC 127279,CHING LIU::IRGC 65018-1,58108060,58108060,12.1,Indica,ERS468869,
1118,IRRI,IRIS 313-11695,HSIN-T'AO YUAN CHING YU::IRGC 65074-1,IRGC 65074,HSIN-T'AO-YUAN-CHING-YU,,Taiwan,IRGC 127421,HSIN-T'AO YUAN CHING YU::IRGC 65074-1,64731242,64731242,13.4,Basmati/sadri,ERS468870,
1119,IRRI,IRIS 313-11698,TAIPEI 167::IRGC 65371-1,IRGC 65371,TAIPEI 167,,Taiwan,IRGC 128479,TAIPEI 167::IRGC 65371-1,57655292,57655292,12.0,Indica,ERS468871,
1120,IRRI,IRIS 313-11708,KHAO YAI GUANG::IRGC 65972-1,IRGC 65972,KHAO YAI GUANG,,Thailand,IRGC 127518,KHAO YAI GUANG::IRGC 65972-1,139758638,137132119,28.5,Indica,ERS468872,
1121,IRRI,IRIS 313-11709,LEUANG KHAJAWN::IRGC 66014-1,IRGC 66014,LEUANG KHAJAWN,,Thailand,,LEUANG KHAJAWN::IRGC 66014-1,149309380,146663769,30.4,Indica,ERS468873,
1122,IRRI,IRIS 313-11710,LEUANG MAI::IRGC 66019-1,IRGC 66019,LEUANG MAI,,Thailand,,LEUANG MAI::IRGC 66019-2,178865358,174820233,36.3,Indica,ERS468874,
1123,IRRI,IRIS 313-11711,RAI MAHK MEUANG::IRGC 66154-1,IRGC 66154,RAI MAHK MEUANG,,Thailand,,RAI MAHK MEUANG::IRGC 66154-1,160914964,157504041,32.7,Aus/boro,ERS468875,
1124,IRRI,IRIS 313-11712,GORA DHAN 2::IRGC 66269-1,IRGC 66269,GORA DHAN 2,,India,IRGC 127389,GORA DHAN 2::IRGC 66269-1,68868264,68868264,14.3,Indica,ERS468876,
1125,IRRI,IRIS 313-11713,ITA 245::IRGC 66288-1,IRGC 66288,ITA 245,,Nigeria,IRGC 127445,ITA 245::IRGC 66288-1,39192608,32447089,6.7,Intermediate type,ERS468877,
1126,IRRI,IRIS 313-11714,CHAMPION::IRGC 66327-1,IRGC 66327,CHAMPION,,Guyana,IRGC 127256,CHAMPION::IRGC 66327-1,48593802,48593802,10.1,Indica,ERS468878,
1127,IRRI,IRIS 313-11716,SOSSOKA::IRGC 66478-1,IRGC 66478,SOSSOKA,,Guinea,IRGC 127822,SOSSOKA::IRGC 66478-1,132761162,129286317,26.8,Indica,ERS468879,
1128,IRRI,IRIS 313-11717,JATI MANI::IRGC 66565-1,IRGC 66565,JATI MANI,,Indonesia,IRGC 127450,JATI MANI::IRGC 66565-1,183534286,179334884,37.2,Indica,ERS468880,
1129,IRRI,IRIS 313-11700,DAW NOK KAEN::IRGC 65548-1,IRGC 65548,DAW NOK KAEN,,Thailand,IRGC 127306,DAW NOK KAEN::IRGC 65548-1,159802122,156279833,32.4,Indica,ERS468881,
1130,IRRI,IRIS 313-11719,DAWK PUT::IRGC 66699-1,IRGC 66699,DAWK PUT,,Thailand,IRGC 127304,DAWK PUT::IRGC 66699-1,149141326,146160351,30.3,Indica,ERS468882,
1131,IRRI,IRIS 313-11720,DAW 85::IRGC 66704-1,IRGC 66704,DAW 85,,Thailand,IRGC 127302,DAW 85::IRGC 66704-1,133893310,131344652,27.3,Indica,ERS468883,
1132,IRRI,IRIS 313-11721,GAEW DAENG::IRGC 66707-1,IRGC 66707,GAEW DAENG,,Thailand,IRGC 127372,GAEW DAENG::IRGC 66707-1,146376798,143052117,29.7,Indica,ERS468884,
1133,IRRI,IRIS 313-11722,KABERI::IRGC 66801-1,IRGC 66801,KABERI,,Bangladesh,IRGC 128327,KABERI::IRGC 66801-1,189730560,178532435,37.0,Indica,ERS468885,
1134,IRRI,IRIS 313-11723,DISSIGBE::IRGC 66916-1,IRGC 66916,DISSIGBE,,Guinea,IRGC 127320,DISSIGBE::IRGC 66916-1,213639736,204408734,42.4,Indica,ERS468886,
1135,IRRI,IRIS 313-11724,KONYAN::IRGC 66931-1,IRGC 66931,KONYAN,,Guinea,IRGC 127531,KONYAN::IRGC 66931-1,125653738,117728201,24.4,Temperate japonica,ERS468887,
1136,IRRI,IRIS 313-11725,ZUIHOU::IRGC 66982-1,IRGC 66982,ZUIHOU,,Japan,IRGC 128514,ZUIHOU::IRGC 66982-1,177124726,168622385,35.0,Indica,ERS468888,
1137,IRRI,IRIS 313-11726,GUANG QING 334::IRGC 67132-1,IRGC 67132,GUANG QING 334,,China,IRGC 127393,GUANG QING 334::IRGC 67132-1,54459378,54459378,11.3,Indica,ERS468889,
1138,IRRI,IRIS 313-11727,HONG YANG ZAO 3::IRGC 67177-1,IRGC 67177,HONG YANG ZAO 3,,China,IRGC 127416,HONG YANG ZAO 3::IRGC 67177-1,165597890,155886703,32.3,Indica,ERS468890,
1139,IRRI,IRIS 313-11728,LUO SI ZHAN::IRGC 67211-1,IRGC 67211,LUO SI ZHAN,,China,IRGC 127581,LUO SI ZHAN::IRGC 67211-1,159353598,151835440,31.5,Indica,ERS468891,
1140,IRRI,IRIS 313-11729,MEI LIU ZAO 5::IRGC 67231-1,IRGC 67231,MEI LIU ZAO 5,,China,IRGC 127622,MEI LIU ZAO 5::IRGC 67231-1,66552486,66552486,13.8,Indica,ERS468892,
1141,IRRI,IRIS 313-11730,QING ER XIAO 2::IRGC 67255-1,IRGC 67255,QING ER XIAO 2,,China,IRGC 127753,QING ER XIAO 2::IRGC 67255-1,169095076,162913064,33.8,Indica,ERS468893,
1142,IRRI,IRIS 313-11731,QING TAI AI::IRGC 67273-1,IRGC 67273,QING TAI AI,,China,IRGC 127754,QING TAI AI::IRGC 67273-1,174201716,166106972,34.5,Indica,ERS468894,
1143,IRRI,IRIS 313-11732,QING ZAO 3::IRGC 67281-1,IRGC 67281,QING ZAO 3,,China,IRGC 127755,QING ZAO 3::IRGC 67281-1,126011730,119037868,24.7,Indica,ERS468895,
1144,IRRI,IRIS 313-11733,SHUANG BAI AI 2::IRGC 67309-1,IRGC 67309,SHUANG BAI AI 2,,China,IRGC 127801,SHUANG BAI AI 2::IRGC 67309-1,114740462,110263558,22.9,Indica,ERS468896,
1145,IRRI,IRIS 313-11734,SI CHAO 1::IRGC 67335-1,IRGC 67335,SI CHAO 1,,China,IRGC 127803,SI CHAO 1::IRGC 67335-1,125189530,117699011,24.4,Indica,ERS468897,
1146,IRRI,IRIS 313-11735,YI LI ZHONG::IRGC 67382-1,IRGC 67382,YI LI ZHONG,,China,IRGC 127904,YI LI ZHONG::IRGC 67382-1,56805250,56805250,11.8,Tropical japonica,ERS468898,
1147,IRRI,IRIS 313-11736,MALAGKIT (PINELIPE)::IRGC 67444-1,IRGC 67444,MALAGKIT(PINELIPE),,Philippines,IRGC 127595,MALAGKIT (PINELIPE)::IRGC 67444-1,171755212,165586087,34.4,Aus/boro,ERS468899,
1148,IRRI,IRIS 313-11737,CHUNDI::IRGC 67486-1,IRGC 67486,CHUNDI,,India,IRGC 127283,CHUNDI::IRGC 67486-1,159197278,153466016,31.8,Indica,ERS468900,
1149,IRRI,IRIS 313-11702,CN 1067::IRGC 65680-1,IRGC 65680,CN1067,,United States,IRGC 127285,CN 1067::IRGC 65680-1,66313170,66313170,13.8,Indica,ERS468901,
1150,IRRI,IRIS 313-11738,PAUNDRI::IRGC 67527-1,IRGC 67527,PAUNDRI,,India,IRGC 127720,PAUNDRI::IRGC 67527-1,148927314,143742237,29.8,Tropical japonica,ERS468902,
1151,IRRI,IRIS 313-11739,NAKPUI::IRGC 67594-1,IRGC 67594,NAKPUI,,Ghana,IRGC 128398,NAKPUI::IRGC 67594-1,113149276,107911693,22.4,Indica,ERS468903,
1152,IRRI,IRIS 313-11740,UGAGA::IRGC 67604-1,IRGC 67604,UGAGA,,Ghana,IRGC 127872,UGAGA::IRGC 67604-1,168326108,161232384,33.5,Indica,ERS468904,
1153,IRRI,IRIS 313-11741,HERATH BANDA::IRGC 67630-1,IRGC 67630,HERATH BANDA,,Sri Lanka,IRGC 127407,HERATH BANDA::IRGC 67630-1,111233024,111233024,23.1,Aus/boro,ERS468905,
1154,IRRI,IRIS 313-11742,KALIBAJARI::IRGC 67718-1,IRGC 67718,KALIBAJARI,,India,IRGC 127480,KALIBAJARI::IRGC 67718-1,101024454,99447099,20.6,Basmati/sadri,ERS468906,
1155,IRRI,IRIS 313-11743,CHHOTI MASHINO::IRGC 67830-1,IRGC 67830,CHHOTI MASHINO,,Bhutan,IRGC 127272,CHHOTI MASHINO::IRGC 67830-1,42221392,35735549,7.4,Indica,ERS468907,
1156,IRRI,IRIS 313-11744,AI JIAO AO FAN ZI::IRGC 67871-1,IRGC 67871,AI JIAO AO FAN ZI,,China,IRGC 127114,AI JIAO AO FAN ZI::IRGC 67871-1,159851690,156952712,32.6,Indica,ERS468908,
1157,IRRI,IRIS 313-11745,AN FU ZHAN::IRGC 67878-1,IRGC 67878,AN FU ZHAN,,China,IRGC 127123,AN FU ZHAN::IRGC 67878-1,163697380,160220534,33.2,Indica,ERS468909,
1158,IRRI,IRIS 313-11746,E 2070::IRGC 67981-1,IRGC 67981,E 2070,,China,IRGC 127349,E 2070::IRGC 67981-1,148294658,144815660,30.0,Indica,ERS468910,
1159,IRRI,IRIS 313-11747,E 4197::IRGC 68004-1,IRGC 68004,E 4197,,China,IRGC 127350,E 4197::IRGC 68004-1,135546582,132435414,27.5,Temperate japonica,ERS468911,
1160,IRRI,IRIS 313-11748,GAO JIAO YING GAN ZHAN::IRGC 68053-1,IRGC 68053,GAO JIAO YING GAN ZHAN,,China,IRGC 127378,GAO JIAO YING GAN ZHAN::IRGC 68053-1,,,,Indica,ERS468912,
1161,IRRI,IRIS 313-11750,L 10595::IRGC 68109-1,IRGC 68109,L 10595,,China,IRGC 127538,L 10595::IRGC 68109-1,,,,Indica,ERS468913,
1162,IRRI,IRIS 313-11751,L 10833::IRGC 68121-1,IRGC 68121,L 10833,,China,IRGC 127539,L 10833::IRGC 68121-1,,,,Indica,ERS468914,
1163,IRRI,IRIS 313-11752,M 6034-1::IRGC 68193-1,IRGC 68193,M 6034-1,,China,IRGC 127584,M 6034-1::IRGC 68193-1,,,,Indica,ERS468915,
1164,IRRI,IRIS 313-11753,XIANG CHANG ZAO::IRGC 68268-1,IRGC 68268,XIANG CHANG ZAO,,China,IRGC 127894,XIANG CHANG ZAO::IRGC 68268-1,,,,Intermediate type,ERS468916,
1165,IRRI,IRIS 313-11754,AMBOHIMANDAY::IRGC 68330-1,IRGC 68330,AMBOHIMANDAY,,Madagascar,IRGC 128214,AMBOHIMANDAY::IRGC 68330-1,,,,Tropical japonica,ERS468917,
1166,IRRI,IRIS 313-11755,A 2-257::IRGC 68342-1,IRGC 68342,A 2-257,,Liberia,,A 2-257::IRGC 68342-1,,,,Tropical japonica,ERS468918,
1167,IRRI,IRIS 313-11756,BENGALI VAKAHANA 1448::IRGC 68370-1,IRGC 68370,BENGALI VAKAHANA 1448,,Madagascar,,BENGALI VAKAHANA 1448::IRGC 68370-1,,,,Indica,ERS468919,
1168,IRRI,IRIS 313-11757,BORIZINA 640::IRGC 68382-1,IRGC 68382,BORIZINA 640,,Madagascar,,BORIZINA 640::IRGC 68382-1,,,,Indica,ERS468920,
1169,IRRI,IRIS 313-11704,BAHN DAENG::IRGC 65771-1,IRGC 65771,BAHN DAENG,,Thailand,,,141704628,138959342,28.8,Indica,ERS468921,
1170,IRRI,IRIS 313-11758,FOFFI::IRGC 68438-1,IRGC 68438,FOFFI,,Ivory Coast,,FOFFI::IRGC 68438-1,,,,Tropical japonica,ERS468922,
1171,IRRI,IRIS 313-11759,K 2 C 45::IRGC 68552-1,IRGC 68552,K 2 C 45,,Ivory Coast,,K 2 C 45::IRGC 68552-1,,,,Indica,ERS468923,
1172,IRRI,IRIS 313-11760,MENAHARA 505::IRGC 68709-1,IRGC 68709,MENAHARA 505,,Madagascar,IRGC 127623,MENAHARA 505::IRGC 68709-1,,,,Indica,ERS468924,
1173,IRRI,IRIS 313-11761,NS 199::IRGC 68864-1,IRGC 68864,NS199,,Ivory Coast,IRGC 127683,NS 199::IRGC 68864-1,,,,Indica,ERS468925,
1174,IRRI,IRIS 313-11762,NS 1515::IRGC 68947-1,IRGC 68947,NS1515,,Madagascar,IRGC 127682,NS 1515::IRGC 68947-1,,,,Indica,ERS468926,
1175,IRRI,IRIS 313-11763,PJ 110::IRGC 68981-1,IRGC 68981,PJ110,,Cameroon,IRGC 127734,PJ 110::IRGC 68981-1,,,,Indica,ERS468927,
1176,IRRI,IRIS 313-11764,P 41::IRGC 68987-1,IRGC 68987,P 41,,Liberia,IRGC 127697,P 41::IRGC 68987-1,,,,Basmati/sadri,ERS468928,
1177,IRRI,IRIS 313-11765,P 335::IRGC 69001-1,IRGC 69001,P 335,,Liberia,IRGC 127696,P 335::IRGC 69001-1,,,,Aus/boro,ERS468929,
1178,IRRI,IRIS 313-11766,TSIMIAKABIJA::IRGC 69074-1,IRGC 69074,TSIMIAKABIJA,,Madagascar,IRGC 128490,TSIMIAKABIJA::IRGC 69074-1,,,,Indica,ERS468930,
1179,IRRI,IRIS 313-11767,VARY LAVA DE BOLOGNE::IRGC 69101-1,IRGC 69101,VARY LAVA DE BOLOGNE,,Madagascar,IRGC 128496,VARY LAVA DE BOLOGNE::IRGC 69101-1,,,,Indica,ERS468931,
1180,IRRI,IRIS 313-11705,DAWK PUD KHAO::IRGC 65808-1,IRGC 65808,DAWK PUD KHAO,,Thailand,IRGC 127303,DAWK PUD KHAO::IRGC 65808-1,152132426,148994006,30.9,Indica,ERS468932,
1181,IRRI,IRIS 313-11772,ROJON'NY NTAOLO::IRGC 69410-1,IRGC 69410,ROJON'NY NTAOLO,,Madagascar,IRGC 128452,ROJON'NY NTAOLO::IRGC 69410-1,,,,Indica,ERS468933,
1182,IRRI,IRIS 313-11773,AUS 78-125::IRGC 69464-1,IRGC 69464,AUS 78-125,,Gambia,,AUS 78-125::IRGC 69464-1,,,,Indica,ERS468934,
1183,IRRI,IRIS 313-11706,KHAO' NOK 4::IRGC 65932-1,IRGC 65932,KHAO' NOK-4,,Thailand,,KHAO' NOK 4::IRGC 65932-1,87673748,87673748,18.2,Temperate japonica,ERS468935,
1184,IRRI,IRIS 313-11779,KATUMANI::IRGC 69695-1,IRGC 69695,KATUMANI,,Tanzania,IRGC 127500,KATUMANI::IRGC 69695-1,,,,Indica,ERS468936,
1185,IRRI,IRIS 313-11780,KILOMBERO::IRGC 69698-1,IRGC 69698,KILOMBERO,,Tanzania,IRGC 127524,KILOMBERO::IRGC 69698-1,,,,Indica,ERS468937,
1186,IRRI,IRIS 313-11782,MALAGASY::IRGC 69717-1,IRGC 69717,MALAGASY,,Zambia,IRGC 128376,MALAGASY::IRGC 69717-1,,,,Indica,ERS468938,
1187,IRRI,IRIS 313-11783,MAMA TABALI::IRGC 69720-1,IRGC 69720,MAMA TABALI,,Gambia,,MAMA TABALI::IRGC 69720-1,,,,Indica,ERS468939,
1188,IRRI,IRIS 313-11784,MBEIMBEIHUN::IRGC 69730-1,IRGC 69730,MBEIMBEIHUN,,Sierra Leone,IRGC 127619,MBEIMBEIHUN::IRGC 69730-1,,,,Indica,ERS468940,
1189,IRRI,IRIS 313-11785,MOSHI::IRGC 69737-1,IRGC 69737,MOSHI,,Tanzania,IRGC 127631,MOSHI::IRGC 69737-1,,,,Indica,ERS468941,
1190,IRRI,IRIS 313-11786,N'YA NOFF::IRGC 69749-1,IRGC 69749,N'YA NOFF,,Gambia,IRGC 128411,N'YA NOFF::IRGC 69749-1,,,,Indica,ERS468942,
1191,IRRI,IRIS 313-11787,TANDAKAY FINGO::IRGC 69793-1,IRGC 69793,TANDAKAY FINGO,,Gambia,IRGC 127845,TANDAKAY FINGO::IRGC 69793-1,,,,Indica,ERS468943,
1192,IRRI,IRIS 313-11707,KHAO SAHKORN::IRGC 65948-1,IRGC 65948,KHAO SAHKORN,,Thailand,,KHAO SAHKORN::IRGC 65948-1,141228000,138165735,28.7,Indica,ERS468944,
1193,IRRI,IRIS 313-11788,CANLUBANG::IRGC 69816-1,IRGC 69816,CANLUBANG,,Philippines,IRGC 127247,CANLUBANG::IRGC 69816-1,,,,Indica,ERS468945,
1194,IRRI,IRIS 313-11789,SABORAMANDALOAFO::IRGC 69875-1,IRGC 69875,SABORAMANDALOAFO,,Madagascar,IRGC 127774,SABORAMANDALOAFO::IRGC 69875-1,,,,Japonica,ERS468946,
1195,IRRI,IRIS 313-11790,VARIRANGAHY::IRGC 69897-1,IRGC 69897,VARIRANGAHY,,Madagascar,IRGC 127883,VARIRANGAHY::IRGC 69897-1,,,,Indica,ERS468947,
1196,IRRI,IRIS 313-11791,VARY LAHY::IRGC 69908-1,IRGC 69908,VARY LAHY,,Madagascar,IRGC 127885,VARY LAHY::IRGC 69908-1,,,,Indica,ERS468948,
1197,IRRI,IRIS 313-11792,VONBOANGY::IRGC 69947-1,IRGC 69947,VONBOANGY,,Madagascar,IRGC 128498,VONBOANGY::IRGC 69947-1,,,,Indica,ERS468949,
1198,IRRI,IRIS 313-11801,FAN WU::IRGC 70245-1,IRGC 70245,FAN WU,,China,IRGC 127368,FAN WU::IRGC 70245-1,,,,Indica,ERS468950,
1199,IRRI,IRIS 313-11802,JIE CAO ZHAN::IRGC 70305-1,IRGC 70305,JIE CAO ZHAN,,China,IRGC 127460,JIE CAO ZHAN::IRGC 70305-1,,,,Temperate japonica,ERS468951,
1200,IRRI,IRIS 313-11803,MAO ZHA NUO::IRGC 70335-1,IRGC 70335,MAO ZHA NUO,,China,IRGC 127608,MAO ZHA NUO::IRGC 70335-1,,,,Indica,ERS468952,
1201,IRRI,IRIS 313-11804,QUN XUAN ZAO::IRGC 70371-1,IRGC 70371,QUN XUAN ZAO,,China,IRGC 128441,QUN XUAN ZAO::IRGC 70371-1,,,,Indica,ERS468953,
1202,IRRI,IRIS 313-11805,XI HONG GU::IRGC 70416-1,IRGC 70416,XI HONG GU,,China,IRGC 127895,XI HONG GU::IRGC 70416-1,,,,Indica,ERS468954,
1203,IRRI,IRIS 313-11806,78 XUAN WU::IRGC 70475-1,IRGC 70475,78 XUAN WU,,China,IRGC 127101,78 XUAN WU::IRGC 70475-1,,,,Indica,ERS468955,
1204,IRRI,IRIS 313-11807,R 582::IRGC 70504-1,IRGC 70504,R 582,,Colombia,IRGC 127757,R 582::IRGC 70504-1,,,,Indica,ERS468956,
1205,IRRI,IRIS 313-11808,R 762::IRGC 70531-1,IRGC 70531,R 762,,Colombia,IRGC 128444,R 762::IRGC 70531-1,,,,Aus/boro,ERS468957,
1206,IRRI,IRIS 313-11809,MHARAKA::IRGC 70612-1,IRGC 70612,MHARAKA,,Kenya,IRGC 128387,MHARAKA::IRGC 70612-1,,,,Indica,ERS468958,
1207,IRRI,IRIS 313-11810,PULURE::IRGC 70647-1,IRGC 70647,PULURE,,Kenya,,PULURE::IRGC 70647-1,,,,Tropical japonica,ERS468959,
1208,IRRI,IRIS 313-11793,KOMALIOKO::IRGC 69958-1,IRGC 69958,KOMALIOKO,,Madagascar,IRGC 128350,KOMALIOKO::IRGC 69958-1,,,,Indica,ERS468960,
1209,IRRI,IRIS 313-11811,MOSHI::IRGC 70648-1,IRGC 70648,MOSHI,,Kenya,IRGC 127632,MOSHI::IRGC 70648-1,,,,Indica,ERS468961,
1210,IRRI,IRIS 313-11812,ASFALA::IRGC 70650-1,IRGC 70650,ASFALA,,Kenya,IRGC 127175,ASFALA::IRGC 70650-1,,,,Indica,ERS468962,
1211,IRRI,IRIS 313-11813,ZERO::IRGC 70707-1,IRGC 70707,ZERO,,Kenya,,ZERO::IRGC 70707-2,,,,Indica,ERS468963,
1212,IRRI,IRIS 313-11814,KIKUBA::IRGC 70722-1,IRGC 70722,KIKUBA,,Kenya,IRGC 127523,KIKUBA::IRGC 70722-1,,,,Indica,ERS468964,
1213,IRRI,IRIS 313-11815,MOSHI::IRGC 70730-1,IRGC 70730,MOSHI,,Kenya,IRGC 127633,MOSHI::IRGC 70730-1,,,,Indica,ERS468965,
1214,IRRI,IRIS 313-11816,KARILETYONE::IRGC 70745-1,IRGC 70745,KARILETYONE,,Myanmar,IRGC 127493,KARILETYONE::IRGC 70745-1,,,,Indica,ERS468966,
