"Table S1A. Information for the 2,466 rice accessions from the International Rice Genebank Collection at the International Rice Research Institute.",,,,,,,,,,,,,,,
Entry_No,Source,DNA_UNIQUE_ID,DNA_Designation,DNA_Accno_source,DNA_VARNAME_source,DNA_Othername_source,ORI_COUNTRY,Genetic_Stock_Accno,Genetic_stock_Designation (varname),total seq count,passed qc seq count,depth,Variety Group (Tree)1,SRA Accession,
41,IRRI,IRIS 313-8409,SOM NGHE AN::IRGC 60751-1-1,IRGC 60751,SOM NGHE AN,,Vietnam,IRGC 126007,SOM NGHE AN::IRGC 60751-1,40347616,40347616,8.4,Intermediate type,ERS467793,
42,IRRI,IRIS 313-9400,NCS 964 C::IRGC 62604-1-1,IRGC 62604,NCS964 C,,India,IRGC 125854,NCS 964 C::IRGC 62604-1,52901086,52901086,11.0,Indica,ERS467794,
43,IRRI,IRIS 313-9882,O SATIVA::IRGC 17083-1-1,IRGC 17083,UNNAMED,,Taiwan,IRGC 125863,O. SATIVA::IRGC 17083-1,49748980,49748980,10.3,Indica,ERS467795,
44,IRRI,IRIS 313-9969,PUTTU NELLU::IRGC 55346-1-1,IRGC 55346,PUTTU NELLU,,Sri Lanka,IRGC 126989,PUTTU NELLU::IRGC 55346-1,66511410,66511410,13.8,Temperate japonica,ERS467796,
45,IRRI,IRIS 313-8399,68-2::IRGC 14546-1-1,IRGC 14546,68-2,,France,IRGC 126113,68-2::IRGC 14546-1,,,,Temperate japonica,ERS467797,
46,IRRI,IRIS 313-8890,WIR 1072::IRGC 57496-1-1,IRGC 57496,WIR1072,,Belgium,IRGC 121541,WIR 1072::IRGC 57496-1,,,,Temperate japonica,ERS467798,
47,IRRI,IRIS 313-9346,SHINCHIKU IKU 103::IRGC 10430-1-1,IRGC 10430,SHINCHIKU-IKU 103,,Taiwan,IRGC 121501,SHINCHIKU IKU 103::IRGC 10430-1,,,,Temperate japonica,ERS467799,
48,IRRI,IRIS 313-9814,AMARELO::IRGC 9389-1-1,IRGC 9389,AMARELO,,Hungary,IRGC 121249,AMARELO::IRGC 9389-1,,,,Intermediate type,ERS467800,
49,IRRI,IRIS 313-8324,POENOET HITAM::IRGC 8193-1-1,IRGC 8193,POENOET HITAM,,Indonesia,IRGC 121474,POENOET HITAM::IRGC 8193-1,,,,Tropical japonica,ERS467801,
50,IRRI,IRIS 313-8927,NABESHI::IRGC 8269-1-1,IRGC 8269,NABESHI,,Taiwan,IRGC 117535,NABESHI,,,,Tropical japonica,ERS467802,
51,IRRI,IRIS 313-9519,WANICA::IRGC 3394-1-1,IRGC 3394,WANICA,,Suriname,IRGC 125936,WANICA::IRGC 3394-1,,,,Tropical japonica,ERS467803,
52,IRRI,IRIS 313-10152,KETAN MENAH::IRGC 48733-1-1,IRGC 48733,KETAN MENAH,,Indonesia,IRGC 125798,KETAN MENAH::IRGC 48733-1,,,,Japonica,ERS467804,
53,IRRI,IRIS 313-10272,COLOMBIA 1::IRGC 116970-1-1,IRGC 116970,COLOMBIA 1,,Colombia,IRGC 125714,COLOMBIA 1::IRGC 116970-1,,,,Tropical japonica,ERS467805,
54,IRRI,IRIS 313-8769,KOSAGI::IRGC 57692-1-1,IRGC 57692,KOSAGI,,Guinea,IRGC 126225,KOSAGI::IRGC 57692-1,44582670,44582670,9.3,Tropical japonica,ERS467806,
55,IRRI,IRIS 313-8999,ARC 11430 B::IRGC 14567-1-1,IRGC 14567,ARC 11430 B,,India,IRGC 125640,ARC 11430 B::IRGC 14567-1,56151348,51587213,10.7,Intermediate type,ERS467807,
56,IRRI,IRIS 313-9101,DARAWAL::IRGC 71514-1-1,IRGC 71514,DARAWAL,,Malaysia,IRGC 125724,DARAWAL::IRGC 71514-1,52354576,52354576,10.9,Japonica,ERS467808,
57,IRRI,IRIS 313-9140,81 A 32::IRGC 60162-1-1,IRGC 60162,81 A 32,,China,IRGC 125631,81 A 32::IRGC 60162-1,40005478,40005478,8.3,Intermediate type,ERS467809,
58,IRRI,IRIS 313-9404,YANGKUM (RED)::IRGC 32406-1-1,IRGC 32406,YANGKUM(RED),,Bhutan,IRGC 117593,YANGKUM (RED),,,,Intermediate type,ERS467810,
59,IRRI,IRIS 313-9648,NEWREX::IRGC 64657-1-1,IRGC 64657,NEWREX,,United States,IRGC 125855,NEWREX::IRGC 64657-1,49705484,49705484,10.3,Intermediate type,ERS467811,
60,IRRI,IRIS 313-9817,GEANT W 7::IRGC 9620-1-1,IRGC 9620,GEANT W 7,,Netherlands,IRGC 121342,GEANT W 7::IRGC 9620-1,,,,Tropical japonica,ERS467812,
61,IRRI,IRIS 313-8664,SITORU::IRGC 66669-1-1,IRGC 66669,SITORU,,Indonesia,,,47992722,44924734,9.3,Basmati/sadri,ERS467813,
62,IRRI,IRIS 313-8326,JC 1::IRGC 9091-1-1,IRGC 9091,JC1,,India,IRGC 117494,JC 1,,,,Basmati/sadri,ERS467814,
63,IRRI,IRIS 313-9083,PANKHARI 203::IRGC 5999-1-1,IRGC 5999,PANKHARI 203,,India,IRGC 117551,PANKHARI 203,,,,Basmati/sadri,ERS467815,
64,IRRI,IRIS 313-9601,CHAWAL::IRGC 73090-1-1,IRGC 73090,CHAWAL,,Pakistan,IRGC 121606,CHAWAL::IRGC 73090-1,,,,Intermediate type,ERS467816,
65,IRRI,IRIS 313-9783,BERENJ 1277 S::IRGC 3461-1-1,IRGC 3461,BERENJ 1277 S,,Afghanistan,IRGC 121902,BERENJ 1277 S::IRGC 3461-1,,,,Japonica,ERS467817,
66,IRRI,IRIS 313-9949,PANNITHI::IRGC 51049-1-1,IRGC 51049,PANNITHI,,Sri Lanka,IRGC 126078,PANNITHI::IRGC 51049-1,66976412,66976412,13.9,Aus/boro,ERS467818,
67,IRRI,IRIS 313-8342,KURULU WEE (WHITE)::IRGC 66518-1-1,IRGC 66518,KURULU WEE(WHITE),,Sri Lanka,IRGC 121029,KURULU WEE (WHITE)::IRGC 66518-1,,,,Aus/boro,ERS467819,
68,IRRI,IRIS 313-8655,TAK::IRGC 73124-1-1,IRGC 73124,TAK,,Pakistan,IRGC 121582,TAK::IRGC 73124-1,,,,Aus/boro,ERS467820,
69,IRRI,IRIS 313-8771,SIMUL KHURI::IRGC 35154-1-1,IRGC 35154,SIMUL KHURI,,India,IRGC 121120,SIMUL KHURI::IRGC 35154-1,,,,Aus/boro,ERS467821,
70,IRRI,IRIS 313-8789,LALSAITA::IRGC 43915-1-1,IRGC 43915,LALSAITA,,Bangladesh,IRGC 121036,LALSAITA::IRGC 43915-1,,,,Aus/boro,ERS467822,
71,IRRI,IRIS 313-8864,NOROI::IRGC 31611-1-1,IRGC 31611,NOROI,,Bangladesh,IRGC 121069,NOROI::IRGC 31611-1,,,,Indica,ERS467823,
72,IRRI,IRIS 313-9039,MUTTU SAMBA::IRGC 36333-1-1,IRGC 36333,MUTTU SAMBA,,Sri Lanka,IRGC 121441,MUTTU SAMBA::IRGC 36333-1,,,,Indica,ERS467824,
73,IRRI,IRIS 313-9108,RAYADA::IRGC 27594-1-1,IRGC 27594,RAYADA,,Bangladesh,IRGC 124467,RAYADA::IRGC 27594-1,,,,Aus/boro,ERS467825,
74,IRRI,IRIS 313-10150,N 22::IRGC 46459-1-1,IRGC 46459,N 22,,India,IRGC 126249,N 22::IRGC 46459-1,25336880,25336880,5.3,Indica,ERS467826,
75,IRRI,IRIS 313-8383,GENE::IRGC 67434-1-1,IRGC 67434,GENE,,Philippines,IRGC 125964,GENE::IRGC 67434-1,32237266,32237266,6.7,Indica,ERS467827,
76,IRRI,IRIS 313-9809,NALUMOOLAI KARUPAN::IRGC 8993-1-1,IRGC 8993,NALUMOOLAI KARUPAN,,Sri Lanka,,,45353420,39878572,8.3,Tropical japonica,ERS467828,
77,IRRI,IRIS 313-10041,BOTOHAVANA MENA::IRGC 69349-1-1,IRGC 69349,BOTOHAVANA MENA,,Madagascar,IRGC 126049,BOTOHAVANA MENA::IRGC 69349-1,55312970,55312970,11.5,Indica,ERS467829,
78,IRRI,IRIS 313-10285,SICAN::IRGC 117029-1-1,IRGC 117029,SICAN,,Peru,IRGC 121119,SICAN::IRGC 117029-1,60068594,60068594,12.5,Indica,ERS467830,
79,IRRI,IRIS 313-10421,WAR 72-2-1-1::IRGC 117361-1-1,IRGC 117361,WAR 72-2-1-1,,Sierra Leone,IRGC 121154,WAR 72-2-1-1::IRGC 117361-1,42398772,42398772,8.8,Indica,ERS467831,
80,IRRI,IRIS 313-10423,YN 1353-3::IRGC 117363-1-1,IRGC 117363,YN 1353-3,,Myanmar,IRGC 121160,YN 1353-3::IRGC 117363-1,71717244,71717244,14.9,Japonica,ERS467832,
81,IRRI,IRIS 313-8232,IR 62266-42-6-2::IRGC 117397-1-1,IRGC 117397,IR 62266-42-6-2,,Philippines,IRGC 117597,IR 62266-42-6-2,,,,Indica,ERS467833,
82,IRRI,IRIS 313-8244,POKKALI::IRGC 8948-1-1,IRGC 8948,POKKALI,,Sri Lanka,IRGC 126002,POKKALI::IRGC 8948-1,56497084,56497084,11.7,Indica,ERS467834,
83,IRRI,IRIS 313-8401,ARC 13530::IRGC 41146-1-1,IRGC 41146,ARC 13530,,India,,,31851388,16984716,3.5,Indica,ERS467835,
84,IRRI,IRIS 313-8405,JIN JUN DAO::IRGC 59710-1-1,IRGC 59710,JIN JUN DAO,,China,IRGC 125613,JIN JUN DAO::IRGC 59710-1,56612448,56612448,11.7,Indica,ERS467836,
