,DNA_UNIQUE_ID,Variety Group (Tree)1,days_to_mat,source_country,rice_blast,fast,stdardized_mat,z_score
343,IRIS 313-9324,Indica,112.0,CHINA,,False,-0.82748836387,-0.817154918415
344,IRIS 313-11572,Indica,127.0,CHINA,,False,-0.205316661712,-0.202426711571
345,IRIS 313-11586,Indica,105.0,CHINA,,True,-1.11783515821,-1.10402808161
346,IRIS 313-10239,Indica,103.0,CHINA,,True,-1.20079138516,-1.18599184252
347,IRIS 313-11729,Indica,97.0,CHINA,Susceptible,True,-1.44966006603,-1.43188312526
348,IRIS 313-9469,Indica,112.0,CHINA,Resistant,False,-0.82748836387,-0.817154918415
349,IRIS 313-10221,Indica,102.0,CHINA,,True,-1.24226949864,-1.22697372298
350,IRIS 313-11654,Indica,102.0,CHINA,Resistant,True,-1.24226949864,-1.22697372298
351,IRIS 313-11575,Indica,104.0,CHINA,,True,-1.15931327169,-1.14500996207
352,IRIS 313-10179,Indica,113.0,CHINA,Susceptible,False,-0.786010250392,-0.776173037959
353,IRIS 313-9372,Indica,120.0,CHINA,,False,-0.495663456052,-0.489299874765
354,IRIS 313-8940,Indica,112.0,CHINA,Susceptible,False,-0.82748836387,-0.817154918415
355,IRIS 313-11666,Indica,106.0,CHINA,,True,-1.07635704473,-1.06304620115
356,IRIS 313-9570,Indica,116.0,CHINA,,False,-0.661575909961,-0.65322739659
357,IRIS 313-11522,Indica,106.0,CHINA,Susceptible,True,-1.07635704473,-1.06304620115
358,IRIS 313-9184,Indica,118.0,CHINA,,False,-0.578619683007,-0.571263635677
359,IRIS 313-10189,Indica,122.0,CHINA,,False,-0.412707229098,-0.407336113852
360,IRIS 313-11655,Indica,102.0,CHINA,Highly susceptible,True,-1.24226949864,-1.22697372298
361,IRIS 313-10171,Indica,122.0,CHINA,,False,-0.412707229098,-0.407336113852
362,IRIS 313-11733,Indica,124.0,CHINA,Susceptible,False,-0.329751002144,-0.32537235294
363,IRIS 313-11667,Indica,102.0,CHINA,,True,-1.24226949864,-1.22697372298
364,IRIS 313-11734,Indica,118.0,CHINA,Susceptible,False,-0.578619683007,-0.571263635677
365,IRIS 313-11732,Indica,100.0,CHINA,Susceptible,True,-1.3252257256,-1.30893748389
366,IRIS 313-10177,Indica,129.0,CHINA,Susceptible,False,-0.122360434758,-0.120462950659
367,IRIS 313-11746,Indica,95.0,CHINA,Susceptible,True,-1.53261629298,-1.51384688617
368,IRIS 313-11728,Indica,131.0,CHINA,Susceptible,False,-0.0394042078033,-0.038499189746
369,IRIS 313-11727,Indica,100.0,CHINA,Susceptible,True,-1.3252257256,-1.30893748389
370,IRIS 313-11744,Indica,110.0,CHINA,Susceptible,False,-0.910444590824,-0.899118679328
371,IRIS 313-11745,Indica,102.0,CHINA,Susceptible,True,-1.24226949864,-1.22697372298
372,IRIS 313-11730,Indica,134.0,CHINA,Resistant,False,0.0850301326282,0.0844464516228
373,IRIS 313-11731,Indica,121.0,CHINA,Susceptible,False,-0.454185342575,-0.448317994309
374,IRIS 313-11664,Indica,122.0,CHINA,,False,-0.412707229098,-0.407336113852
375,IRIS 313-11668,Indica,104.0,CHINA,,True,-1.15931327169,-1.14500996207
376,IRIS 313-11665,Indica,114.0,CHINA,Susceptible,False,-0.744532136915,-0.735191157503
377,IRIS 313-11669,Indica,98.0,CHINA,,True,-1.40818195255,-1.3909012448
378,IRIS 313-11422,Indica,127.0,CHINA,Susceptible,False,-0.205316661712,-0.202426711571
379,IRIS 313-11806,Indica,114.0,CHINA,Susceptible,False,-0.744532136915,-0.735191157503
380,IRIS 313-11876,Indica,95.0,CHINA,Susceptible,True,-1.53261629298,-1.51384688617
381,IRIS 313-12057,Indica,115.0,CHINA,,False,-0.703054023438,-0.694209277046
382,IRIS 313-11038,Indica,92.0,CHINA,Susceptible,True,-1.65705063341,-1.63679252754
383,IRIS 313-12273,Indica,110.0,CHINA,,False,-0.910444590824,-0.899118679328
384,IRIS 313-11877,Indica,102.0,CHINA,Susceptible,True,-1.24226949864,-1.22697372298
385,IRIS 313-12234,Indica,129.0,CHINA,,False,-0.122360434758,-0.120462950659
386,IRIS 313-11852,Indica,115.0,CHINA,,False,-0.703054023438,-0.694209277046
387,IRIS 313-11878,Indica,109.0,CHINA,Susceptible,False,-0.951922704301,-0.940100559784
388,IRIS 313-11947,Indica,128.0,CHINA,,False,-0.163838548235,-0.161444831115
389,IRIS 313-11853,Indica,114.0,CHINA,,False,-0.744532136915,-0.735191157503
390,IRIS 313-10497,Indica,120.0,CHINA,,False,-0.495663456052,-0.489299874765
391,IRIS 313-10450,Indica,111.0,CHINA,,False,-0.868966477347,-0.858136798871
392,IRIS 313-11854,Indica,117.0,CHINA,,False,-0.620097796484,-0.612245516134
393,IRIS 313-10932,Indica,95.0,CHINA,,True,-1.53261629298,-1.51384688617
394,IRIS 313-9555,Indica,124.0,CHINA,Susceptible,False,-0.329751002144,-0.32537235294
395,IRIS 313-10449,Indica,100.0,CHINA,,True,-1.3252257256,-1.30893748389
396,IRIS 313-11795,Indica,111.0,CHINA,Susceptible,False,-0.868966477347,-0.858136798871
397,IRIS 313-11855,Indica,114.0,CHINA,,False,-0.744532136915,-0.735191157503
398,IRIS 313-11856,Indica,112.0,CHINA,,False,-0.82748836387,-0.817154918415
399,IRIS 313-11857,Indica,113.0,CHINA,,False,-0.786010250392,-0.776173037959
400,IRIS 313-11858,Indica,118.0,CHINA,,False,-0.578619683007,-0.571263635677
401,IRIS 313-11859,Indica,119.0,CHINA,,False,-0.537141569529,-0.530281755221
402,IRIS 313-11798,Indica,111.0,CHINA,Resistant,False,-0.868966477347,-0.858136798871
403,IRIS 313-11799,Indica,110.0,CHINA,Susceptible,False,-0.910444590824,-0.899118679328
404,IRIS 313-11797,Indica,92.0,CHINA,Susceptible,True,-1.65705063341,-1.63679252754
405,IRIS 313-11801,Indica,113.0,CHINA,Resistant,False,-0.786010250392,-0.776173037959
406,IRIS 313-12033,Indica,116.0,CHINA,,False,-0.661575909961,-0.65322739659
407,IRIS 313-11748,Indica,110.0,CHINA,Susceptible,False,-0.910444590824,-0.899118679328
408,IRIS 313-11860,Indica,114.0,CHINA,,False,-0.744532136915,-0.735191157503
409,IRIS 313-11965,Indica,117.0,CHINA,,False,-0.620097796484,-0.612245516134
410,IRIS 313-10503,Indica,110.0,CHINA,,False,-0.910444590824,-0.899118679328
411,IRIS 313-11861,Indica,118.0,CHINA,,False,-0.578619683007,-0.571263635677
412,IRIS 313-11862,Indica,114.0,CHINA,,False,-0.744532136915,-0.735191157503
413,IRIS 313-11863,Indica,112.0,CHINA,,False,-0.82748836387,-0.817154918415
414,IRIS 313-11909,Indica,109.0,CHINA,Susceptible,False,-0.951922704301,-0.940100559784
415,IRIS 313-11948,Indica,112.0,CHINA,,False,-0.82748836387,-0.817154918415
416,IRIS 313-10504,Indica,104.0,CHINA,,True,-1.15931327169,-1.14500996207
417,IRIS 313-11865,Indica,98.0,CHINA,,True,-1.40818195255,-1.3909012448
418,IRIS 313-12007,Indica,121.0,CHINA,,False,-0.454185342575,-0.448317994309
419,IRIS 313-11866,Indica,114.0,CHINA,,False,-0.744532136915,-0.735191157503
420,IRIS 313-11867,Indica,116.0,CHINA,,False,-0.661575909961,-0.65322739659
421,IRIS 313-11039,Indica,100.0,CHINA,Susceptible,True,-1.3252257256,-1.30893748389
422,IRIS 313-11750,Indica,121.0,CHINA,Susceptible,False,-0.454185342575,-0.448317994309
423,IRIS 313-11751,Indica,110.0,CHINA,Susceptible,False,-0.910444590824,-0.899118679328
424,IRIS 313-12236,Indica,111.0,CHINA,,False,-0.868966477347,-0.858136798871
425,IRIS 313-11985,Indica,121.0,CHINA,,False,-0.454185342575,-0.448317994309
426,IRIS 313-11986,Indica,95.0,CHINA,,True,-1.53261629298,-1.51384688617
427,IRIS 313-10452,Indica,111.0,CHINA,,False,-0.868966477347,-0.858136798871
428,IRIS 313-11949,Indica,111.0,CHINA,,False,-0.868966477347,-0.858136798871
429,IRIS 313-11868,Indica,108.0,CHINA,,False,-0.993400817778,-0.98108244024
430,IRIS 313-11881,Indica,113.0,CHINA,Susceptible,False,-0.786010250392,-0.776173037959
431,IRIS 313-11752,Indica,102.0,CHINA,Susceptible,True,-1.24226949864,-1.22697372298
432,IRIS 313-11869,Indica,123.0,CHINA,,False,-0.371229115621,-0.366354233396
433,IRIS 313-12275,Indica,107.0,CHINA,,True,-1.03487893126,-1.0220643207
434,IRIS 313-11882,Indica,114.0,CHINA,Susceptible,False,-0.744532136915,-0.735191157503
435,IRIS 313-11803,Indica,119.0,CHINA,Susceptible,False,-0.537141569529,-0.530281755221
436,IRIS 313-11950,Indica,114.0,CHINA,,False,-0.744532136915,-0.735191157503
437,IRIS 313-11951,Indica,112.0,CHINA,,False,-0.82748836387,-0.817154918415
438,IRIS 313-11158,Indica,113.0,CHINA,Susceptible,False,-0.786010250392,-0.776173037959
439,IRIS 313-11870,Indica,112.0,CHINA,,False,-0.82748836387,-0.817154918415
440,IRIS 313-10561,Indica,118.0,CHINA,,False,-0.578619683007,-0.571263635677
441,IRIS 313-10458,Indica,100.0,CHINA,,True,-1.3252257256,-1.30893748389
442,IRIS 313-12009,Indica,107.0,CHINA,,True,-1.03487893126,-1.0220643207
443,IRIS 313-11966,Indica,119.0,CHINA,,False,-0.537141569529,-0.530281755221
444,IRIS 313-11952,Indica,112.0,CHINA,,False,-0.82748836387,-0.817154918415
445,IRIS 313-11804,Indica,105.0,CHINA,Susceptible,True,-1.11783515821,-1.10402808161
446,IRIS 313-10477,Indica,110.0,CHINA,Susceptible,False,-0.910444590824,-0.899118679328
447,IRIS 313-10477,Indica,110.0,CHINA,Susceptible,False,-0.910444590824,-0.899118679328
448,IRIS 313-11953,Indica,107.0,CHINA,,True,-1.03487893126,-1.0220643207
449,IRIS 313-11871,Indica,103.0,CHINA,,True,-1.20079138516,-1.18599184252
450,IRIS 313-10560,Indica,128.0,CHINA,,False,-0.163838548235,-0.161444831115
451,IRIS 313-11967,Indica,116.0,CHINA,,False,-0.661575909961,-0.65322739659
452,IRIS 313-12232,Indica,120.0,CHINA,,False,-0.495663456052,-0.489299874765
453,IRIS 313-11884,Indica,109.0,CHINA,Susceptible,False,-0.951922704301,-0.940100559784
454,IRIS 313-11872,Indica,105.0,CHINA,,True,-1.11783515821,-1.10402808161
455,IRIS 313-10502,Indica,110.0,CHINA,,False,-0.910444590824,-0.899118679328
456,IRIS 313-12237,Indica,104.0,CHINA,,True,-1.15931327169,-1.14500996207
457,IRIS 313-11805,Indica,113.0,CHINA,Susceptible,False,-0.786010250392,-0.776173037959
458,IRIS 313-11954,Indica,118.0,CHINA,,False,-0.578619683007,-0.571263635677
459,IRIS 313-12010,Indica,109.0,CHINA,,False,-0.951922704301,-0.940100559784
460,IRIS 313-11885,Indica,106.0,CHINA,Susceptible,True,-1.07635704473,-1.06304620115
461,IRIS 313-11955,Indica,118.0,CHINA,,False,-0.578619683007,-0.571263635677
462,IRIS 313-11910,Indica,110.0,CHINA,Susceptible,False,-0.910444590824,-0.899118679328
463,IRIS 313-12011,Indica,109.0,CHINA,,False,-0.951922704301,-0.940100559784
464,IRIS 313-11911,Indica,114.0,CHINA,Susceptible,False,-0.744532136915,-0.735191157503
465,IRIS 313-12012,Indica,107.0,CHINA,,True,-1.03487893126,-1.0220643207
466,IRIS 313-11968,Indica,108.0,CHINA,,False,-0.993400817778,-0.98108244024
467,IRIS 313-8859,Intermediate type,95.0,CHINA,Susceptible,True,-1.53261629298,-1.51384688617
468,IRIS 313-9140,Intermediate type,110.0,CHINA,,False,-0.910444590824,-0.899118679328
469,IRIS 313-11753,Intermediate type,90.0,CHINA,Susceptible,True,-1.74000686037,-1.71875628845
470,IRIS 313-10562,Japonica,139.0,CHINA,Moderately resistant,False,0.292420700014,0.289355853904
471,IRIS 313-10459,Japonica,112.0,CHINA,,False,-0.82748836387,-0.817154918415
472,IRIS 313-9468,Temperate japonica,104.0,CHINA,,True,-1.15931327169,-1.14500996207
473,IRIS 313-9233,Temperate japonica,105.0,CHINA,Susceptible,True,-1.11783515821,-1.10402808161
474,IRIS 313-9725,Temperate japonica,110.0,CHINA,,False,-0.910444590824,-0.899118679328
475,IRIS 313-11574,Temperate japonica,102.0,CHINA,,True,-1.24226949864,-1.22697372298
476,IRIS 313-11585,Temperate japonica,96.0,CHINA,,True,-1.4911381795,-1.47286500572
477,IRIS 313-11577,Temperate japonica,118.0,CHINA,,False,-0.578619683007,-0.571263635677
478,IRIS 313-8481,Temperate japonica,137.0,CHINA,,False,0.20946447306,0.207392092992
479,IRIS 313-11573,Temperate japonica,116.0,CHINA,,False,-0.661575909961,-0.65322739659
480,IRIS 313-11570,Temperate japonica,108.0,CHINA,,False,-0.993400817778,-0.98108244024
481,IRIS 313-11653,Temperate japonica,100.0,CHINA,Susceptible,True,-1.3252257256,-1.30893748389
482,IRIS 313-11580,Temperate japonica,106.0,CHINA,,True,-1.07635704473,-1.06304620115
483,IRIS 313-11582,Temperate japonica,114.0,CHINA,,False,-0.744532136915,-0.735191157503
484,IRIS 313-11652,Temperate japonica,88.0,CHINA,Susceptible,True,-1.82296308732,-1.80072004937
485,IRIS 313-11747,Temperate japonica,102.0,CHINA,Susceptible,True,-1.24226949864,-1.22697372298
486,IRIS 313-11651,Temperate japonica,84.0,CHINA,Susceptible,True,-1.98887554123,-1.96464757119
487,IRIS 313-11202,Temperate japonica,110.0,CHINA,Susceptible,False,-0.910444590824,-0.899118679328
488,IRIS 313-11201,Temperate japonica,104.0,CHINA,Susceptible,True,-1.15931327169,-1.14500996207
489,IRIS 313-11908,Temperate japonica,120.0,CHINA,Susceptible,False,-0.495663456052,-0.489299874765
490,IRIS 313-11800,Temperate japonica,98.0,CHINA,Susceptible,True,-1.40818195255,-1.3909012448
491,IRIS 313-10559,Temperate japonica,118.0,CHINA,Moderately resistant,False,-0.578619683007,-0.571263635677
492,IRIS 313-12054,Temperate japonica,99.0,CHINA,,True,-1.36670383907,-1.34991936435
493,IRIS 313-11802,Temperate japonica,119.0,CHINA,Susceptible,False,-0.537141569529,-0.530281755221
494,IRIS 313-12059,Temperate japonica,93.0,CHINA,,True,-1.61557251994,-1.59581064708
495,IRIS 313-12060,Temperate japonica,91.0,CHINA,,True,-1.69852874689,-1.677774408
496,IRIS 313-10558,Temperate japonica,92.0,CHINA,,True,-1.65705063341,-1.63679252754
497,IRIS 313-10453,Temperate japonica,100.0,CHINA,,True,-1.3252257256,-1.30893748389
498,IRIS 313-11931,Temperate japonica,100.0,CHINA,,True,-1.3252257256,-1.30893748389
499,IRIS 313-10583,Temperate japonica,131.0,CHINA,,False,-0.0394042078033,-0.038499189746
500,IRIS 313-12061,Temperate japonica,98.0,CHINA,,True,-1.40818195255,-1.3909012448
501,IRIS 313-9724,Temperate japonica,103.0,CHINA,,True,-1.20079138516,-1.18599184252
502,IRIS 313-8387,Tropical japonica,110.0,CHINA,Susceptible,False,-0.910444590824,-0.899118679328
503,IRIS 313-10190,Tropical japonica,118.0,CHINA,,False,-0.578619683007,-0.571263635677
504,IRIS 313-11735,Tropical japonica,130.0,CHINA,Susceptible,False,-0.0808823212805,-0.0794810702023
505,IRIS 313-10228,Tropical japonica,112.0,CHINA,,False,-0.82748836387,-0.817154918415
